Row_ID,Project_Name,Project_Location,Project_Type,Budget_Line_Item,Sub_Category,Main_Category,Phase,Budgeted_Amount_Lacs,Spent_Amount_Lacs,Percentage_Spent,Remaining_Amount_Lacs,Contingency_Allocated_Lacs,Contingency_Used_Lacs,Vendor_Name,Unit_Rate_Rupees,Quantity_Units,Unit_Type,Work_Status,Completion_Target_Percent,Actual_Completion_Percent,Timeline_Status,Risk_Level,Risk_Description,Approval_Status,Invoice_Pending_Lacs,Notes
1,IISER Library,Tirupati AP,Educational,Excavation,Foundation Work,Civil Works,Foundation,8.50,8.92,104.9,0.00,1.20,0.50,Soil Contractors Ltd,1200,7420,cum,On-track,100,104.9,Delayed,Medium,Soil harder than estimated,Approved,0.42,Extra excavation required
2,IISER Library,Tirupati AP,Educational,RCC Footing,Foundation Work,Civil Works,Foundation,12.30,13.20,107.3,0.00,1.50,1.20,Concrete Suppliers Inc,2200,6000,sqm,On-track,100,107.3,Delayed,Medium,Additional reinforcement,Approved,0.90,Geotechnical survey findings
3,IISER Library,Tirupati AP,Educational,Ground Floor Slab,Foundation Work,Civil Works,Foundation,10.20,10.15,99.5,0.05,1.00,0.00,Concrete Suppliers Inc,1800,5640,sqm,On-track,100,99.5,On-track,Low,Normal variance,Approved,0.00,Within tolerance
4,IISER Library,Tirupati AP,Educational,Column & Beam L1-L3,Structural Frame,Civil Works,Structure,18.50,15.20,82.2,3.30,2.00,0.00,Steel Fabricators India,500,30400,unit,On-track,100,82.2,On-track,Low,Good productivity,Approved,0.00,Ahead of schedule
5,IISER Library,Tirupati AP,Educational,Column & Beam L4-L6,Structural Frame,Civil Works,Structure,22.80,18.50,81.1,4.30,2.50,0.00,Steel Fabricators India,500,37000,unit,On-track,100,81.1,On-track,Low,Linear progress,Approved,0.00,Good pace
6,IISER Library,Tirupati AP,Educational,Roof Slab,Structural Frame,Civil Works,Structure,14.50,9.30,64.1,5.20,1.80,0.00,Concrete Suppliers Inc,1500,6200,sqm,Planning,60,64.1,On-track,Low,Scheduled month 4,Approved,0.00,On schedule
7,IISER Library,Tirupati AP,Educational,Brickwork & Masonry,Infill Walls,Civil Works,Infill,16.80,4.20,25.0,12.60,2.00,0.00,Brick Suppliers Ltd,2500,1680,1000brick,Planning,25,25.0,On-track,Low,Post-frame start,Approved,0.00,Dependent on structure
8,IISER Library,Tirupati AP,Educational,Plaster Exterior,Surface Finish,Civil Works,Infill,8.50,0.80,9.4,7.70,1.00,0.00,Surface Finish Ltd,800,1062.5,100sqm,Planning,10,9.4,On-track,Low,Masonry dependent,Approved,0.00,To start
9,IISER Library,Tirupati AP,Educational,HVAC Design,MEP System,MEP,MEP-Planning,12.30,6.50,52.8,5.80,2.00,0.00,Climate Control Systems,450000,27.33,TR,Execution,50,52.8,On-track,Low,Equipment ordered,Approved,0.00,On schedule
10,IISER Library,Tirupati AP,Educational,HVAC Installation,MEP System,MEP,MEP-Execution,8.90,2.10,23.6,6.80,1.50,0.00,Climate Control Systems,75000,118.67,TR,Planning,25,23.6,On-track,Low,Month 4 start,Approved,0.00,Pending equipment delivery
